ID,English,Tamil,Hindi,Context,Timestamp,Has_English,Has_Tamil,Has_Hindi,Languages_Count,Entry_Type,English_Length,Tamil_Length,Hindi_Length
88,Italic,சரிவு,इटैलिक,compose.italic,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,6,5,6
90,Contacts,தேுகள்,संपर्क,contacts.contacts,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,8,6,6
91,To,க்கு,किसको,search.search_to,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,2,4,5
92,Add to Contacts,தேடுகளில் சேர்,संपर्क में जोड़ें,email_view.add_to_contacts,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,15,14,17
93,Mark as Important,முக்கியமாக குறி,महत्वपूर्ण चिह्नित करें,email_list.mark_important,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,17,15,23
94,Drafts,வரைவுகள்,ड्राफ्ट,navigation.drafts,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,6,8,7
95,Starred,நட்சத்திரங்கள்,तारांकित,navigation.starred,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,7,14,8
103,Refresh,புதுப்பி,रिफ्रेश करें,email_list.refresh,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,7,8,12
104,Send Later,பின்னர் அனுப்பு,बाद में भेजें,compose.send_later,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,10,15,13
105,Upload Failed,மேல்ேற்றம் தோல்வி,अपलोड असफल,attachments.upload_failed,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,13,17,10
110,Attach File,குவள் இணை,फाइल अटैच करें,compose.attach_file,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,11,9,14
116,Show Starred,நட்சத்திரங்களை காட்டு,तारांकित दिखाएं,email_list.show_starred,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,12,21,15
117,Star,நட்சத்திரம்,तारा लगाएं,email_list.star,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,4,11,10
118,From,இருந்து,किसकी ओर से,email_view.from,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,4,7,11
122,Search Mail,மெயிலை தேடு,मेल खोजें,search.search_mail,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,11,11,9
124,Discard,வெறியே,रद्द करें,compose.discard,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,7,6,9
125,Unstar,நட்சத்திரத்தை நீக்கு,तारा हटाएं,email_view.unstar,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,6,20,10
127,Has Attachment,இணைப்பு உள்ளது,अताचमेंट के साथ,search.has_attachment,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,14,14,15
130,Show Original,மூலத்தை காட்டு,मूल दिखाएं,email_view.show_original,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,13,14,10
134,Preview,முன்நோட்டம்,पूर्वावलोकन,attachments.preview,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,7,11,11
138,File Size,கோவை அளவு,फाइल का आकार,attachments.file_size,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,9,9,12
139,Download,இறங்கு,डाउनलोड करें,attachments.download,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,8,6,12
140,Compose,எழுது,लिखें,compose.compose,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,7,5,5
144,Forward,முன்னேற்று,आगे भेजें,email_view.forward,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,7,10,9
152,Align Right,வலது சேர்ப்பு,दाएं अलाइन करें,compose.align_right,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,11,13,15
155,Show All,அனைத்தையும் காட்டு,सभी दिखाएं,email_list.show_all,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,8,18,10
156,Show Details,விவரங்களை காட்டு,विवरण दिखाएं,email_view.show_details,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,12,16,12
165,Snooze,உறங்கு,स्नूज़,email_list.snooze,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,6,6,6
167,Spam,ஸ்பாம்,स्पैम,navigation.spam,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,4,6,5
170,Settings,அமைப்புகள்,सेटिंग्स,navigation.settings,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,8,10,8
173,Descending,இறங்கு,अवरोही,email_list.descending,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,10,6,6
174,Sent,அனுப்பப்பட்டது,भेजे गए,navigation.sent,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,4,14,7
184,Trash,குப்பை,कूड़ेदान,navigation.trash,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,5,6,8
185,Invalid file type,அனுமதிக்கப்படாத கோவை வகை,अमान्य फाइल प्रकार,attachments.invalid_file_type,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,17,24,18
189,Mail,மெயில்,मेल,app.title,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,4,6,3
190,Date Range,தேதி வ஼6ள்ளை,तारीख की रेंज,search.date_range,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,10,12,13
196,Message Body,செய்தி உள்ளடக்கம்,संदेश मुख्य भाग,search.search_body,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,12,17,15
201,Mark as Unread,படிக்காததாக குறி,अनपढ़ा के रूप में चिह्नित करें,email_list.mark_unread,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,14,16,30
202,Attach,இணை,अताच करें,attachments.attach,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,6,3,9
203,Normal Priority,சாதாரண முன்னுரிமை,सामान्य प्राथमिकता,compose.priority_normal,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,15,17,18
204,Drag and drop files here or click to browse,கோவைகளை இங்கே இழுக்கவும் துக்கவும் அல்லது பார்க்க க்ளிக் செய்யவும்,फाइलों को यहां खींचें और छोड़ें या ब्राउज़ करने के लिए क्लिक करें,attachments.drag_drop,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,43,66,65
207,Warning,எச்சரிக்கை,चेतावनी,app.warning,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,7,10,7
209,Send,அனுப்பு,भेजें,compose.send,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,4,7,5
210,Advanced Search,முன்னடிவ தேடல்,उन्नत खोज,search.advanced_search,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,15,14,9
211,Labels,லேபல்கள்,लेबल,navigation.labels,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,6,8,4
213,Mail Application,மெயில் அப்ளிகேஷன்,मेल एप्लिकेशन,app.name,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,16,17,13
221,Upload Complete,மேல்ேற்றம் முடிந்தது,अपलोड पूरा हो गया,attachments.upload_complete,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,15,20,17
222,Move to,இங்கு நகர்த்து,यहां ले जाएं,email_list.move_to,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,7,14,12
224,Error,பிழை,त्रुटि,app.error,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,5,4,6
225,File Type,கோவை வகை,फाइल का प्रकार,attachments.file_type,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,9,8,14
226,Search Results,தேடல் முடிவுகள்,खोज परिणाम,search.search_results,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,14,15,10
229,Align Left,இடது சேர்ப்பு,बाएं अलाइन करें,compose.align_left,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,10,13,15
230,Back to List,பட்டியலுக்கு திரும்பு,सूची में वापस जाएं,email_view.back_to_list,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,12,21,18
231,Reply All,அனைவருக்கும் பதிலடி,सभी को जवाब दें,email_view.reply_all,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,9,19,15
232,Font Color,எழுத்து நிறம்,फॉन्ट का रंग,compose.font_color,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,10,13,12
235,Schedule Send,நேரத்தில் அனுப்பு,संकेतित समय पर भेजें,compose.schedule_send,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,13,17,20
238,Select All,அனைத்தையும் தேர்வு செய்,सभी का चयन करें,email_list.select_all,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,10,23,15
240,No results found,முடிவுகள் கிடைக்கவி\u0BB,कोई परिणाम नहीं मिला,search.no_results,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,16,24,20
244,Version,பதிப்பு,संस्करण,app.version,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,7,7,7
245,Upload Progress,மேல்ேற்றம் நடைபேறுதல்,अपलोड प्रगति,attachments.upload_progress,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,15,21,12
246,Not Spam,ஸ்பாம் இல்லை,स्पैम नहीं,email_view.not_spam,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,8,12,10
251,Sort by,வரிசைபடுத்து,इस आधार पर क्रमबद्ध करें,email_list.sort_by,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,7,12,24
253,Information,தகவல்,जानकारी,app.info,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,11,5,7
255,Bold,தடிச்சு,बोल्ड,compose.bold,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,4,7,5
256,Save Draft,வரைவினை சேமி,ड्राफ्ट सेव करें,compose.save_draft,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,10,12,16
258,Mark as Spam,ஸ்பாமாக குறி,स्पैम के रूप में चिह्नित करें,email_view.mark_spam,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,12,12,29
259,Mark as Read,படித்ததாக குறி,पढ़ा गया के रूप में चिह्नित करें,email_list.mark_read,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,12,14,32
261,Insert Image,படத்தை சேர்,चित्र डालें,compose.insert_image,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,12,11,11
270,CC,ஸிஸி,सीसी,compose.cc,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,2,4,4
272,Deselect All,அனைத்தையும் தேர்வை தவிர்,सभी का चयन हटाएं,email_list.deselect_all,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,12,24,16
273,Download All,அனைத்தையும் இறங்கு,सभी डाउनलोड करें,email_view.download_all,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,12,18,16
276,Formatting,வடிவமைப்பு,फॉरमैटिंग,compose.formatting,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,10,10,9
282,Background Color,பின்னணி நிறம்,बैकग्राउंड का रंग,compose.background_color,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,16,13,17
283,Low Priority,குறைவான முன்னுரிமை,कम प्राथमिकता,compose.priority_low,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,12,18,13
286,Ascending,ஏறுது,आरोही,email_list.ascending,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,9,5,5
289,Align Center,நடுவில் சேர்\u0BAP்பு,केंद्र में अलाइन करें,compose.align_center,2025-06-02 05:49:51,True,True,True,3,Complete_Triplet,12,21,21
290,Hello,வணக்கம்,नमस्कार,API translation of 'Hello',2025-06-02 05:49:52,True,True,True,3,Complete_Triplet,5,7,7
294,Hello world,வணக்கம்,नमस्ते,,2025-06-02 05:51:11,True,True,True,3,Complete_Triplet,11,7,6
297,delete label,லேபிளை நீக்குதல்,लेबल डिलीट करें,From web interface,2025-06-02 05:52:48,True,True,True,3,Complete_Triplet,12,16,15
303,high priority attachments,உயர் முன்னுரிமை இணைப்புகள்,उच्च प्राथमिकता अनुलग्नक,,2025-06-02 06:23:05,True,True,True,3,Complete_Triplet,25,26,24
309,loading important folders,இறங்கு முக்கியமான அவைகள்,डाउनलोड करें महत्वपूर्ण फोल्डर,From web interface,2025-06-02 06:43:34,True,True,True,3,Complete_Triplet,25,24,30
313,document,ஆவணம்,दस्तावेज़,,2025-06-02 06:59:01,True,True,True,3,Complete_Triplet,8,5,9
339,Important message,முக்கியமான செய்தி,महत्वपूर्ण संदेश,,2025-06-04 06:02:18,True,True,True,3,Complete_Triplet,17,17,16
344,World,உலகம்,दुनिया,,2025-06-04 06:02:29,True,True,True,3,Complete_Triplet,5,5,6
357,Hello world World,வணக்கம் உலகம்,नमस्ते दुनिया,Word-by-word translation of 'नमस्ते दुनिया',2025-06-04 06:30:57,True,True,True,3,Complete_Triplet,17,13,13
368,email settings,மின்னஞ்சல் அமைப்புகள்,ईमेल सेटिंग्स,Settings menu,2025-06-04 06:49:44,True,True,True,3,Complete_Triplet,14,21,13
369,attachment download failed,இணைப்பு பதிவிறக்கம் தோல்வியடைந்தது,अटैचमेंट डाउनलोड विफल,Error message,2025-06-04 06:49:45,True,True,True,3,Complete_Triplet,26,34,21
370,high priority message,உயர் முன்னுரிமை செய்தி,उच्च प्राथमिकता संदेश,Message priority,2025-06-04 06:49:45,True,True,True,3,Complete_Triplet,21,22,21
371,file compression settings,கோப்பு சுருக்க அமைப்புகள்,फ़ाइल संपीड़न प्रारूप,From web interface,2025-06-04 06:49:46,True,True,True,3,Complete_Triplet,25,25,21
372,folder,கோப்புறை,फोल्डर,From web interface,2025-06-04 06:53:51,True,True,True,3,Complete_Triplet,6,8,6
373,forest,காட்டு,जंगल,From web interface,2025-06-04 06:54:15,True,True,True,3,Complete_Triplet,6,6,4
374,folder deleted,கோப்புறை நீக்கு,फोल्डर डिलीट हो गया,From web interface,2025-06-04 06:54:41,True,True,True,3,Complete_Triplet,14,15,19
375,loading important files,இறங்கு முக்கியமான அவைகள்,डाउनलोड करें महत्वपूर्ण फाइल अटैच करें,From web interface,2025-06-04 06:55:25,True,True,True,3,Complete_Triplet,23,24,38
376,there is a big folder that is stored inside the repo,கோப்புறை,यह है एक आकार फोल्डर वह है सेव करें ऑन यह रीसेट करें,From web interface,2025-06-05 07:14:50,True,True,True,3,Complete_Triplet,52,8,52
377,there was an old man that had lived in here 100 years ago,100 ஆண்டுகளுக்கு முன்பு இங்கு ஒரு முதியவர் வசித்து வந்தார்.,ऑन किसको एक तारांकित एक वह किसको रद्द करें में ऑन நமஸ்தே किसको पिछला,From web interface,2025-06-05 07:15:14,True,True,True,3,Complete_Triplet,57,59,68
378,it is said that the dinosaurs have went extinct millions of years ago,100 ஆண்டுகளுக்கு முன்பு இங்கு ஒரு முதியவர் வசித்து வந்தார்.,ऐसा कहा जाता है कि डायनासोर लाखों वर्ष पहले विलुप्त हो गए थे।,From web interface,2025-06-05 07:15:41,True,True,True,3,Complete_Triplet,69,59,61
379,the biggest land carnivore is the polar bear,சிங்கம் மான் உண்கிறது,यह आकार मानवजाति अताच करें है यह सुविधाजनक बोल्ड,From web interface,2025-06-05 07:16:25,True,True,True,3,Complete_Triplet,44,21,48
380,there have been multiple cases if the coronavirus thatt's  being reported all across India,இந்தியா முழுவதும் பதிவாகும் கொரோனா வைரஸ் பாதிப்புகளின் எண்ணிக்கை அதிகமாக இருந்தால்,यदि भेजने वाला,From web interface,2025-06-05 07:17:02,True,True,True,3,Complete_Triplet,90,82,14
381,delete folder,கோப்புறை நீக்கு,फोल्डर डिलीट करें,From web interface,2025-06-05 07:17:19,True,True,True,3,Complete_Triplet,13,15,17
382,Zoho Projects enabled me to better manage the people. I had no idea how they worked before,வரைவுகள்,स्नूज़ ड्राफ्ट सक्षम करें ऑन किसको ठीक रद्द करें यह किसको ऑन किसको नहीं ऑन किसको यह सफलता पिछला,From web interface,2025-06-23 17:02:25,True,True,True,3,Complete_Triplet,90,8,95
383,Zoho Projects 7: First Impressions & Feedback,வரைவுகள்,ज़ोहो प्रोजेक्ट्स 7: प्रथम प्रभाव और प्रतिक्रिया,From web interface,2025-06-23 17:02:47,True,True,True,3,Complete_Triplet,45,8,48
392,It has helped us to achieve about 300% growth rate for our business.,இது எங்கள் வணிகத்திற்கு 300% வளர்ச்சி விகிதத்தை அடைய உதவியது.,किसको किसको अताच करें ऑन किसको सफलता किसको நமஸ்தே आरोही रद्द करें के लिए ऑन ऑन,From web interface,2025-06-23 17:03:26,True,True,True,3,Complete_Triplet,68,61,78
393,"Before Zoho, we were chained to the desk at the office, after Zoho, we can be anywhere and be in charge of our projects",வரைவுகள்,होना स्नूज़ ऑन ऑन में किसको यह दस्तावेज़ ऑन यह का अगला स्नूज़ ऑन किसको होना ऑन और होना में डाउनलोड करें का ऑन ड्राफ्ट,From web interface,2025-06-23 17:04:09,True,True,True,3,Complete_Triplet,119,8,117
